Rank	Organism	Nucleotides	Entries
70	Ictidomys tridecemlineatus	6750621036	966850
71	Palaemon carinicauda	6701284346	9473631
72	eukaryotic synthetic construct	6490460646	99
73	Alligator mississippiensis	6490073833	80376
74	Pongo abelii	6432766036	473362
75	Anolis carolinensis	6414887057	8740890
76	Sarcophilus harrisii	6126424912	896587
77	Gorilla gorilla gorilla	6074833455	187601
78	Nasalis larvatus	6062716263	1243682
79	Clostridioides difficile	6045031494	749365
80	Galeopterus variegatus	6028707807	2161831
81	Locusta migratoria	5810511417	1472020
82	marine sediment metagenome	5801659128	3748589
83	Eschrichtius robustus	5772996837	1270905
84	coral metagenome	5732152866	5349604
85	Hevea brasiliensis	5659244626	2498633
86	Aedes albopictus	5549104681	3880155
87	Arachis hypogaea	5486371629	599977
88	Bos indicus	5480697815	665735
89	Ixodes scapularis	5398988143	1875122
90	Nephila clavipes	5362963206	4963232
91	Oncorhynchus tshawytscha	5359602589	991591
92	Oryza sativa Indica Group	5355544044	1001608
93	Daubentonia madagascariensis	5354490411	3574209
94	Chaetophractus vellerosus	5335679951	7677418
95	Bos indicus x Bos taurus	5263493482	5602
96	Rhinatrema bivittatum	5261906348	83696
97	Acanthoscurria geniculata	5187236723	12587827
98	Meriones unguiculatus	5160567101	854730
99	Aegilops tauschii	5160380368	689013
100	Hippopotamus amphibius	5104126892	1097234
101	Capra aegagrus	5049767491	473092
102	Puma concolor	5025382286	155202
103	Monodon monoceros	5019310599	1527650
104	Glycine max	5012722688	2290498
105	Bacillus cereus	5011266503	199505
106	Shigella sonnei	4999779424	419967
107	Chinchilla lanigera	4976632278	2489034
108	Latimeria chalumnae	4958252886	976599
109	Pisum sativum	4909032071	6171338
110	Salmo salar	4872843486	2407324
111	Hyaena hyaena	4820246975	356059
112	Vitis vinifera	4816350543	1000352
113	Bos mutus	4815215448	233312
114	Gavialis gangeticus	4781113580	299273
115	Heterocephalus glaber	4769612614	396638
116	Oryctolagus cuniculus	4744796477	2330927
117	Lycaon pictus	4714947876	1731
118	Physeter catodon	4704937033	216438
119	Mustela putorius furo	4700249242	321863
120	Aedes aegypti	4688873606	1117431
121	Ailuropoda melanoleuca	4675409456	259119
122	Cannabis sativa	4668170722	273194
123	Oncorhynchus mykiss	4662668005	1551288
124	Fasciola hepatica	4642393414	614084
125	Felis catus	4575737322	619984
126	Ellobius lutescens	4546118498	471947
127	Oryza sativa Japonica Group	4545441145	2146217
128	Mycobacteroides abscessus subsp. abscessus	4528623759	84053
129	Camelus dromedarius	4512905109	920365
130	Scyliorhinus torazame	4473722743	461138
131	Erinaceus europaeus	4466871383	1073880
132	Austrofundulus limnaeus	4423233509	6034012
133	Sphenodon punctatus	4380420492	165767
134	Megaderma lyra	4336410952	2421265
135	Aegilops tauschii subsp. tauschii	4327368430	68602
136	Venturia inaequalis	4303698785	659831
137	Gossypium barbadense	4276129273	366162
138	Nicotiana attenuata	4254537211	1080039
139	Oryzias latipes	4238485383	1762064
140	Aegilops tauschii subsp. strangulata	4225068561	109633
141	Crocodylus porosus	4139610874	115528
142	Clitarchus hookeri	4120028572	1160763
143	Tolypeutes matacus	4115107250	2925563
144	Burkholderia pseudomallei	4090538821	77593
145	Drosophila melanogaster	4051555814	1293224
146	Beta vulgaris subsp. vulgaris	4049267262	1281669
147	anaerobic digester metagenome	4044386412	1930111
148	Rousettus aegyptiacus	3968065602	258380
149	Solanum lycopersicum	3942303163	851732
150	Schmidtea mediterranea	3940923359	1287004
151	Rhizomys pruinosus	3937328533	4150573
152	Ornithorhynchus anatinus	3914410439	461282
153	Ochotona princeps	3902141957	851844
154	Blattella germanica	3868648734	215219
155	Tamandua tetradactyla	3850874697	2147196
156	activated sludge metagenome	3821059226	6815510
157	Camelus bactrianus	3789958485	1216742
158	Neisseria meningitidis	3783488745	330758
159	Chiloscyllium plagiosum	3777825035	603897
160	Chenopodium quinoa	3759325357	32476
161	Apodemus sylvaticus	3759084350	560803
162	Scleropages formosus	3692704747	169916
163	Spheniscus magellanicus	3629870167	5919
164	Heterohyrax brucei	3618188578	967967
165	Periplaneta americana	3604166858	335062
166	Pygoscelis adeliae	3583117228	118958
167	Monodelphis domestica	3581997153	76878
168	Myrmecophaga tridactyla	3547433273	1621612
169	Apodemus speciosus	3494757682	336725
170	Saguinus imperator	3493801820	1666333
171	Erythrocebus patas	3490830004	2564244
172	Erpetoichthys calabaricus	3468701919	66
173	Mytilus galloprovincialis	3456161748	3945297
174	Myodes glareolus	3446056585	370159
175	Secale cereale	3445052646	3233485
176	Taeniopygia guttata	3433231501	394669
177	Dryococelus australis	3416466793	357093
178	Orycteropus afer afer	3415325355	433653
179	Carlito syrichta	3406133044	493190
180	Choloepus didactylus	3390842027	2532536
181	Dasypus novemcinctus	3381495514	317227
182	Chiloscyllium punctatum	3375854773	280338
183	Anguilla japonica	3373165534	1400976
184	Malaclemys terrapin terrapin	3342790040	511157
185	Cyprinus carpio	3327353257	335083
186	synthetic construct	3327268973	9837302
187	Bordetella pertussis	3320823549	238843
188	Nycticebus coucang	3294750151	1937370
189	Procambarus virginalis	3290488416	1942833
190	Dolichotis patagonum	3289632799	1905793
191	Cercopithecus neglectus	3278953743	2119281
192	Choloepus hoffmanni	3269904301	370684
193	Oreochromis niloticus	3249790855	1467950
194	Gallus gallus	3248504851	1078347
195	Microgale talazaci	3236158523	788909
196	Xenopus laevis	3232190184	1447620
197	Nicotiana glauca	3222948814	514391
198	Pygathrix nemaeus	3217368917	1431326
199	Capsicum baccatum	3215739284	23388
200	Onychomys torridus	3202242336	2261767
201	Loxodonta africana	3201674832	99224
202	Lates calcarifer	3176239473	754743
203	Vibrio parahaemolyticus	3174191837	70532
204	Papio anubis	3146423131	267325
205	Klebsiella pneumoniae subsp. pneumoniae	3143248429	58195
206	Saccharum spontaneum	3136560114	17351
207	Medicago truncatula	3134789922	496693
208	Microtus agrestis	3124792236	230871
209	Lepus americanus	3124073236	1594264
210	Allactaga bullata	3093603992	1284418
211	Mellivora capensis	3091197350	2068350
212	Calypte anna	3088189897	130840
213	Larimichthys crocea	3084199245	765831
214	Crocidura indochinensis	3082220578	2415416
215	Cavia tschudii	3077378618	1368212
216	Capsicum chinense	3072183335	89068
217	Macaca fuscata fuscata	3058998184	258172
218	Cebus albifrons	3058950565	1539483
219	Zonotrichia albicollis	3038643741	1102102
220	Piliocolobus tephrosceles	3038029061	47503
221	Alouatta palliata	3033757888	1136787
222	Semnopithecus entellus	3033291177	1064038
223	Helianthus annuus	3030264247	165730
224	Spodoptera frugiperda	3027709493	1192916
225	Capromys pilorides	3023962562	2352465
226	Diceros bicornis	3020838786	2022909
227	Salmonella enterica subsp. enterica serovar Typhimurium	3015120290	102866
228	Heliconius melpomene melpomene	3005744656	2993117
229	Aplodontia rufa	3005596239	1279593
230	Nannospalax galili	3003905892	418744
231	Arabidopsis thaliana	2993038859	2805972
232	Spermophilus dauricus	2987112079	502804
233	Timema cristinae	2983317248	99240
234	Notamacropus eugenii	2978515340	1571690
235	Ctenomys sociabilis	2978010899	884070
236	Rhinopithecus bieti	2977575995	105426
237	Ictalurus punctatus	2968962415	1404144
238	Moschus moschiferus	2966508241	1175883
239	Plecturocebus donacophilus	2959863147	1034108
240	Dicerorhinus sumatrensis sumatrensis	2949866241	1061594
241	Cervus elaphus hippelaphus	2943215527	71
242	Pithecia pithecia	2933742719	892550
243	Rhincodon typus	2931827425	57553
244	Ateles geoffroyi	2930496785	873307
245	Gossypium arboreum	2918806967	725665
246	Myocastor coypus	2903323287	1669797
247	Antilocapra americana	2900743631	1645245
248	Rangifer tarandus	2898839611	1363869
249	Enterococcus faecium	2894086000	208545
250	Theropithecus gelada	2889915483	15536
251	Saiga tatarica	2876297680	1772385
252	Macaca nemestrina	2866193364	132358
253	Apostichopus japonicus	2864985829	1572189
254	Ovis canadensis	2863893027	1048361
255	Lasiurus borealis	2858078789	519694
256	Rhinopithecus roxellana	2856341330	197196
257	Gossypium hirsutum	2841962239	851773
258	Nomascus leucogenys	2837826777	199162
259	Tupaia chinensis	2815794731	293028
260	Graphiurus murinus	2815066798	1267981
261	Mus musculus domesticus	2813470545	336903
262	Cordylochernes scorpioides	2807157074	248585
263	Mesoplodon bidens	2797770307	1801794
264	Cercocebus atys	2787891351	77251
265	Capreolus capreolus	2786497700	3089759
266	Manis javanica	2776655093	170626
267	Aotus nancymaae	2770114713	113733
268	Trichechus manatus latirostris	2769756338	167639
269	Bison bison bison	2758037061	792182
270	Chlorocebus sabaeus	2755864102	201237
271	Parhyale hawaiensis	2754936094	278288
272	Eulemur fulvus	2749025465	1694215
273	Cavia porcellus	2740837237	97441
274	Papaver somniferum	2738500865	56112
275	Okapia johnstoni	2738455497	1213351
276	Hydrochoerus hydrochaeris	2734678752	655481
277	Pan paniscus	2733641633	125478
278	Capra sibirica	2733116258	85707
279	Sigmodon hispidus	2731002528	884118
280	Chrysanthemum seticuspe	2721840025	354213
281	Mandrillus leucophaeus	2721629935	246274
282	Medauroidea extradentata	2721345201	265752
283	Cavia aperea	2716435117	3160
284	Hemitragus hylocrius	2715048480	469171
285	Vibrio cholerae	2714986941	109155
286	Stegodyphus mimosarum	2712215922	208110
287	Tadarida brasiliensis	2710229242	1067986
288	Carollia perspicillata	2701268709	1927015
289	Beatragus hunteri	2697277653	535900
290	Humulus lupulus var. lupulus	2691557982	680627
291	Vulpes lagopus	2689388406	1264357
292	Dinomys branickii	2688608262	1158484
293	Phalaenopsis hybrid cultivar	2688297008	149929
294	Colobus angolensis palliatus	2680035030	197181
295	Axis porcinus	2676360721	136249
296	Ceratotherium simum cottoni	2666623736	942434
297	Thryonomys swinderianus	2662289261	1889844
298	Echinops telfairi	2660598313	278260
299	Varroa jacobsoni	2658681868	1099653
300	Callorhinus ursinus	2654324483	56098
301	Tympanoctomys barrerae	2651711110	1558884
302	Ammotragus lervia	2650905065	77366
303	Ovis ammon	2643577242	42067
304	Rhinella marina	2635950367	94284
305	Mus spretus	2635902151	63195
306	Eptatretus burgeri	2635523348	39451
307	Modiolus philippinarum	2629575350	74577
308	Xenopus tropicalis	2619892654	1649426
309	Arachis monticola	2618660653	6921
310	Capsicum annuum var. glabriusculum	2616229483	121874
311	freshwater metagenome	2615600717	3257569
312	Giraffa tippelskirchi	2611645211	771716
313	Zapus hudsonius	2611220248	1158147
314	Cebus capucinus imitator	2610518382	140597
315	Ursus americanus	2608431558	151261
316	Mus musculus castaneus	2602724094	56272
317	Pteronura brasiliensis	2602393659	644893
318	Xerus inauris	2601465734	577418
319	Catagonus wagneri	2593630812	1230185
320	Octomys mimax	2591303298	1257828
321	Ovis canadensis canadensis	2590574434	72
322	Elaphurus davidianus	2584897386	195048
323	Pseudois nayaur	2584395616	214998
324	Tragulus javanicus	2582818449	1157080
325	Tapirus terrestris	2573290252	806913
326	Terrapene mexicana triunguis	2571363737	52391
327	Ondatra zibethicus	2562865886	565462
328	Saimiri boliviensis boliviensis	2533927028	151768
329	Muscardinus avellanarius	2527320976	467088
330	Octodon degus	2526338304	260000
331	Marmota flaviventris	2525965638	71609
332	Peromyscus maniculatus bairdii	2522301743	290542
333	Mus musculus musculus	2522059597	33899
334	Urocitellus parryii	2521044204	16495
335	Zalophus californianus	2520155238	572580
336	Marmota marmota marmota	2510587943	14544
337	Pantholops hodgsonii	2508263193	298646
338	Panthera onca	2504850580	439240
339	Tursiops aduncus	2504688183	16737
340	hot springs metagenome	2504549695	1757410
341	Mus spicilegus	2496337002	37813
342	Mesocricetus auratus	2489991714	406183
343	Hucho hucho	2487600746	71688
344	Nothobranchius furzeri	2483774162	965025
345	Neovison vison	2481962656	34285
346	Panthera pardus	2479738045	266048
347	Paradoxurus hermaphroditus	2477448170	438415
348	Pimephales promelas	2477405367	1216325
349	Nicotiana otophora	2474303342	1121559
350	Suricata suricatta	2471876727	349941
351	Hystrix cristata	2470969144	1136686
352	Jaculus jaculus	2470577940	337735
353	Psammomys obesus	2468083388	315352
354	Spilogale gracilis	2463477089	422296
355	Glis glis	2462186400	433569
356	Cryptoprocta ferox	2459013562	464285
357	Strongylocentrotus purpuratus	2456264963	478954
358	Microcebus murinus	2451012083	55745
359	Mungos mungo	2448234956	312412
360	Pygoscelis antarcticus	2442394020	30042
361	Otolemur garnettii	2441889751	201066
362	Phocoena phocoena	2441871175	142805
363	Hipposideros galeritus	2440792156	840266
364	Canis lupus dingo	2439944334	2512
365	Pygoscelis papua	2438650494	25913
366	Prionailurus bengalensis euptilurus	2435384581	65385
367	Arachis duranensis	2432699346	440220
368	Salmo trutta	2430691351	114029
369	Oncorhynchus kisutch	2430513541	71703
370	Ovis aries musimon	2430496619	128143
371	Berberis thunbergii	2430127662	134805
372	Felis nigripes	2428562552	590304
373	Artibeus jamaicensis	2426142353	795769
374	Enhydra lutris kenyoni	2425581587	29594
375	Tapirus indicus	2425462143	280374
376	Gulo gulo	2423484992	47859
377	Vulpes vulpes	2422585505	84313
378	microbial mat metagenome	2420410023	1101751
379	Spheniscus humboldti	2420035231	4143
380	Penaeus vannamei	2419244313	818232
381	Streptococcus suis	2417732593	141379
382	Prolemur simus	2411721766	128641
383	Salmonella enterica subsp. enterica serovar Enteritidis	2408323911	29448
384	Mirounga angustirostris	2407419042	321409
385	Gekko japonicus	2406353953	342522
386	Neomonachus schauinslandi	2401058058	8133
387	Equus asinus	2400766829	3874
388	Ursus maritimus	2398027215	172474
389	Cricetomys gambianus	2397759496	1103001
390	Lipotes vexillifer	2397332270	155887
391	Cheirogaleus medius	2393737596	548474
392	chicken gut metagenome	2392738863	4666224
393	Helogale parvula	2392493717	189403
394	Petromus typicus	2389414220	910730
395	Delphinapterus leucas	2380889775	133930
396	Chelonia mydas	2379359996	539157
397	Equus przewalskii	2375778882	134453
398	Dioscorea rotundata	2375317479	1312540
399	Solanum pennellii	2374785888	126280
400	Hydra vulgaris	2373030321	835929
401	Mus caroli	2367320000	31278
402	Ceratotherium simum simum	2366863222	57852
403	Salvelinus alpinus	2364685137	140557
404	Odocoileus virginianus texanus	2358999667	48656
405	Calidris pugnax	2356639557	82676
406	Neotoma lepida	2354160546	119678
407	Aquila chrysaetos canadensis	2351404977	190154
408	Dipodomys stephensi	2346419997	1269645
409	Ailurus fulgens styani	2342956520	11591
410	Anas platyrhynchos	2342261220	257014
411	Mirza coquereli	2340991708	441035
412	Sousa chinensis	2339385820	21278
413	Panthera tigris altaica	2333822330	157638
414	Murina aurata feae	2331554106	880181
415	Manacus vitellinus	2329175195	153495
416	Haliaeetus albicilla	2325066040	146907
417	Lemur catta	2324916574	576458
418	Ctenodactylus gundi	2322524507	860140
419	Equus asinus asinus	2321058938	9054
420	Mus pahari	2320068086	18017
421	Platysternon megacephalum	2319307080	359968
422	Oryzias melastigma	2317573825	1310619
423	Micronycteris hirsuta	2314693880	550139
424	Fagopyrum esculentum	2313367825	492655
425	Ursus arctos horribilis	2312434709	22249
426	Apteronotus leptorhynchus	2310972993	1603051
427	Lepeophtheirus salmonis	2307667154	561754
428	Acomys cahirinus	2306395732	371416
429	Chelonoidis abingdonii	2300777412	10677
430	Odobenus rosmarus divergens	2300307940	70815
431	Pogona vitticeps	2299792352	1141243
432	Colinus virginianus	2296954060	418650
433	Myotis myotis	2294702382	1045644
434	Balaenoptera acutorostrata scammoni	2286686360	184104
435	Fukomys damarensis	2286100313	162656
436	Craseonycteris thonglongyai	2272615368	1224816
437	Monotropa hypopitys	2270328067	1310845
438	Neophocaena asiaeorientalis asiaeorientalis	2270325924	66377
439	Burkholderia ubonensis	2270081286	36846
440	Ellobius talpinus	2266092846	350472
441	Falco peregrinus	2265839269	84136
442	Rhipicephalus microplus	2260058053	690935
443	Orcinus orca	2252554128	80577
444	Sorex araneus	2249762128	202991
445	Burkholderia cenocepacia	2238607691	52845
446	Hipposideros armiger	2237003269	8048
447	freshwater bacterium LH6-2	2231410493	4537356
448	Leptonychotes weddellii	2223614444	170258
449	Balaenoptera bonaerensis	2220987147	722447
450	Ophiothrix spiculata	2210144100	644803
451	Brassica napus	2210096445	978042
452	Anoura caudifer	2206661323	337334
453	Alligator sinensis	2200086322	177651
454	Tupaia belangeri	2195134943	844289
455	Enterobacter cloacae	2193122499	48715
456	Gopherus agassizii	2185489001	172652
457	Harmonia axyridis	2168786601	266786
458	Seriola quinqueradiata	2163866372	105910
459	Conus tribblei	2160591630	1126408
460	bioreactor metagenome	2131949251	1764864
461	Columba livia	2128681915	21167
462	Eucidaris tribuloides	2126336987	1091838
463	Eulemur macaco	2120185276	26887
464	Vicugna pacos	2118842677	459278
465	Eulemur flavifrons	2115639374	38472
466	Microtus ochrogaster	2114251755	190989
467	Uropsilus gracilis	2112848927	723998
468	Mormoops blainvillei	2111788844	205302
469	Pelodiscus sinensis	2107323765	206245
470	Tonatia saurophila	2105978528	249915
471	Noctilio leporinus	2098785169	298556
472	Corvus cornix cornix	2092375541	258
473	Pipistrellus pipistrellus	2090904656	726552
474	Serratia marcescens	2087605767	38372
475	Propithecus coquereli	2084128684	299413
476	Lupinus angustifolius	2077965385	684276
477	Rhinolophus sinicus	2073976542	64427
478	Miscanthus sacchariflorus	2072420357	138152
479	Scalopus aquaticus	2068927659	640364
480	Brachypodium distachyon	2068638226	1139593
481	Salvator merianae	2068200888	4567
482	Dipodomys ordii	2065358362	148255
483	Rhinolophus ferrumequinum	2064852407	388725
484	Nicotiana sylvestris	2059562274	412683
485	metagenomes	2057856820	2755680
486	Pteropus vampyrus	2054437887	226050
487	Solenodon paradoxus woodi	2049497547	40487
488	Phodopus sungorus	2036318466	1475277
489	Desmodus rotundus	2034626099	94732
490	Ara macao	2033576976	787202
491	Sorghum bicolor	2032904505	1040466
492	Juglans regia	2026437004	191565
493	Laticauda colubrina	2024810855	63049
494	human skin metagenome	2024748022	1666008
495	Caridina multidentata	2019948029	2887876
496	Bacillus thuringiensis	2018237240	68038
497	Myotis lucifugus	2010004909	75023
498	Vicugna pacos huacaya	2001178849	75735
499	Tachypleus tridentatus	1999333650	343721
500	Manis pentadactyla	1999226401	231116
501	Cocos nucifera	1987776465	272547
502	Camelus ferus	1985952872	68927
503	Elaeis guineensis	1985033410	918439
504	Octopus bimaculoides	1984409411	700240
505	Myotis brandtii	1981911864	325572
506	Nanorana parkeri	1978295515	148399
507	Glycine soja	1975123824	330031
508	Eonycteris spelaea	1967034896	4655
509	Artemisia annua	1952225637	401517
510	Pteronotus parnellii	1947466132	444338
511	Pteropus alecto	1946504070	170334
512	Eriocheir sinensis	1938873016	486389
513	Pogostemon cablin	1917439379	42022
514	Penaeus monodon	1907997969	3093557
515	Macrostomum lignano	1907403767	120906
516	Diabrotica virgifera virgifera	1906642774	632313
517	Escherichia coli O26:H11	1902782238	107742
518	Chara braunii	1902761593	199550
519	Macroglossus sobrinus	1897680382	172040
520	Cenchrus americanus	1879557156	182571
521	Myotis davidii	1878592555	325405
522	Apalone spinifera	1878113637	827160
523	Ipomoea trifida	1875668992	886343
524	Campylobacter jejuni	1864094229	93174
525	Bemisia tabaci	1861513126	979453
526	Perca fluviatilis	1860443039	352993
527	Oxygymnocypris stewartii	1849323884	26361
528	Petromyzon marinus	1849074317	209915
529	Carassius auratus	1842747702	31710
530	Bombyx mori	1838638267	1455790
531	Eidolon helvum	1830735660	288840
532	Legionella pneumophila	1825194867	33904
533	Xanthomonas oryzae pv. oryzae	1819728706	250282
534	Coturnix japonica	1816808494	20251
535	Eptesicus fuscus	1811929722	168074
536	Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	1807983447	32039
537	Miniopterus natalensis	1803203810	1455
538	Heliconius elevatus	1800740248	2117298
539	Oryza sativa	1797465566	509162
540	Euphorbia esula	1795786685	2593040
541	Loxosceles reclusa	1793260596	1317732
542	invertebrate metagenome	1785425600	2324560
543	Mycobacteroides abscessus subsp. massiliense	1783287287	19853
544	Aplysia californica	1777856914	1552374
545	Miniopterus schreibersii	1776282954	178325
546	Humulus lupulus var. cordifolius	1776138378	292700
547	Ensete ventricosum	1763030825	212679
548	Sparus aurata	1761501894	208799
549	Hibiscus syriacus	1748940444	77529
550	Thermophis baileyi	1747754669	20818
551	Euperipatoides rowelli	1745296423	1038895
552	Liriodendron chinense	1742875837	4490
553	Saccharum hybrid cultivar	1741648623	1692740
554	Malus domestica	1741513094	477506
555	Astyanax mexicanus	1733814269	287232
556	Limulus polyphemus	1711122380	478338
557	Limnoperna fortunei	1709342958	85180
558	Anguilla anguilla	1705536466	1909774
559	Panicum miliaceum	1703917878	2552
560	Salmonella enterica subsp. enterica	1702744122	27491
561	Paroedura picta	1694218190	110948
562	Condylura cristata	1682622778	84686
563	Penaeus japonicus	1663827474	2439395
564	Streptococcus agalactiae	1663124268	87881
565	Bathymodiolus platifrons	1658550559	66148
566	Quercus robur	1656663332	291644
567	Branchiostoma belcheri	1652717250	258468
568	Cronobacter sakazakii	1650531062	45518
569	Nicotiana tomentosiformis	1649731325	226281
570	Calopteryx splendens	1644297261	29840
571	Ptychodera flava	1635229535	825787
572	Emydocephalus ijimae	1625209940	157875
573	Cephalotus follicularis	1614559575	16335
574	Ophiophagus hannah	1612837622	326503
575	Laupala kohalensis	1605347091	163173
576	Protobothrops mucrosquamatus	1605237471	280316
577	Mycobacteroides abscessus	1603025310	27360
578	Brassica oleracea	1602362336	710238
579	Phaseolus vulgaris	1600763857	977172
580	Apteryx australis mantelli	1595512836	327071
581	Venustaconcha ellipsiformis	1590072347	371473
582	Leucoraja erinacea	1575525528	2993846
583	Sinocyclocheilus grahami	1567535308	168264
584	Laticauda laticaudata	1558799076	83673
585	Raphanus sativus	1552893826	463531
586	Arachis ipaensis	1548235492	263375
587	Haplochromis burtoni	1543543215	825903
588	Gossypium raimondii	1542199369	143505
589	Crotalus horridus	1536670953	193394
590	Brassica rapa	1531291196	212358
591	Corynespora cassiicola	1530170594	212316
592	Sinocyclocheilus rhinocerous	1521488572	314970
593	Clupea harengus	1516771162	77141
594	Sinocyclocheilus anshuiensis	1512896379	254423
595	Alloteropsis semialata	1505530682	684952
596	Saccostrea glomerata	1504399922	1121155
597	Bradypus variegatus	1503767964	1774094
598	Haliotis rufescens	1499101997	9041
599	Corvus hawaiiensis	1497644354	2759
600	Labeo rohita	1488092815	20327
601	Echinochloa crus-galli	1487247944	4930
602	Nelumbo nucifera	1483628741	113913
603	Silybum marianum	1477795688	258679
604	Amynthas corticis	1476763580	5142599
605	Daphnia magna	1462283709	602840
606	Brassica cretica	1456072709	1079566
607	termite gut metagenome	1446833470	1483739
608	Maylandia zebra	1445734837	429796
609	Jaltomata sinuosa	1443209368	7673
610	oral metagenome	1443049049	455678
611	Lacerta viridis	1440013280	4895
612	Solanum pimpinellifolium	1438603164	359070
613	Latrodectus hesperus	1431723404	506593
614	Heliconius melpomene amaryllis	1428717723	1846706
615	Girardia tigrina	1428254008	255347
616	Hordeum pubiflorum	1425496904	1818560
617	Gadus morhua	1419445356	433856
618	Lacerta bilineata	1418407221	7781
619	Psittacula krameri	1417895363	167668
620	Homalodisca vitripennis	1416015211	169905
621	Protobothrops flavoviridis	1414392402	84887
622	Anguilla rostrata	1414013979	79539
623	Pantherophis guttatus	1407038928	886284
624	Hydrophis melanocephalus	1402672852	122067
625	Gammarus fossarum	1389206249	1842058
626	Python bivittatus	1384755044	274459
627	Silene conica	1381650267	1436070
628	Parasteatoda tepidariorum	1381604240	554640
629	Haliotis rubra	1378404744	3066
630	Kryptolebias marmoratus	1378037620	80706
631	Stenotrophomonas maltophilia	1371742707	60365
632	Heliconius melpomene aglaope	1364856254	1833352
633	Musca domestica	1359050640	531232
634	Xiphophorus maculatus	1358096248	68606
635	Machilis hrabei	1357143762	768864
636	Acropora millepora	1353537781	1361560
637	Sardina pilchardus	1352075591	1132879
638	Nicotiana obtusifolia	1349525124	276311
639	Camelina sativa	1348443826	266930
640	Nannopterum brasilianus	1346221984	266385
641	Heliconius melpomene rosina	1345891994	1674352
642	Lateolabrax maculatus	1343415325	287458
643	Theobroma cacao	1343094935	208059
644	Crotalus viridis viridis	1340234867	7097
645	Halyomorpha halys	1339429498	383805
646	Enterococcus faecalis	1338483187	54149
647	Spinacia oleracea	1335535453	381238
648	Puccinia triticina Race 77	1330483119	688275
649	Camellia sinensis	1327943532	1696611
650	Cajanus cajan	1326626323	614458
651	Austropuccinia psidii	1325676348	299882
652	Vipera berus berus	1316299874	264273
653	Philaenus spumarius	1314104637	1912750
654	Anas zonorhyncha	1310880233	20290
655	Limnephilus lunatus	1310536638	114559
656	Fundulus heteroclitus	1309210755	389640
657	Chlamydotis undulata undulata	1307727152	80774
658	Helicobacter pylori	1305643355	88160
659	Dorcoceras hygrometricum	1303737310	535992
660	Juglans nigra	1303676952	109298
661	Hordeum bulbosum	1295253923	2883832
662	Teleopsis dalmanni	1293888009	428474
663	Xiphophorus hellerii	1293650679	108305
664	Heliconius cydno chioneus	1288944077	1654665
665	Leptidea sinapis	1286226028	63877
